,Date,stock,value,change
1,1/3/2007,HUM,23.950705,-0.167452273
2,1/3/2007,TEMP,16.149666,0.113476031
3,1/3/2007,GAS,11.086612,2.219568972
4,1/4/2007,HUM,23.910599,-0.570278478
5,1/4/2007,TEMP,16.167992,-0.425055876
6,1/4/2007,GAS,11.332687,-0.712125906
7,1/5/2007,HUM,23.774242,0.978411846
8,1/5/2007,TEMP,16.099269,-0.369948474
9,1/5/2007,GAS,11.251984,0.49383291
10,1/8/2007,HUM,24.006852,0.100229718
11,1/8/2007,TEMP,16.03971,-0.428442908
12,1/8/2007,GAS,11.30755,8.307016109
13,1/9/2007,HUM,24.030914,-1.001335197
14,1/9/2007,TEMP,15.970989,-0.315553407
15,1/9/2007,GAS,12.24687,4.785557453
16,1/10/2007,HUM,23.790284,3.506410432
17,1/10/2007,TEMP,15.920592,3.050363956
18,1/10/2007,GAS,12.832951,-1.237104389
19,1/11/2007,HUM,24.624469,1.66122973
20,1/11/2007,TEMP,16.406228,0.251331385
21,1/11/2007,GAS,12.674194,-1.231731185
22,1/12/2007,HUM,25.033538,-0.160201087
23,1/12/2007,TEMP,16.447462,0.891359409
24,1/12/2007,GAS,12.518082,2.621000565
25,1/16/2007,HUM,24.993434,-0.192550571
26,1/16/2007,TEMP,16.594068,0.193261833
27,1/16/2007,GAS,12.846181,-2.214214481
28,1/17/2007,HUM,24.945309,-0.32154743
29,1/17/2007,TEMP,16.626138,-1.432900413
30,1/17/2007,GAS,12.561739,-6.192725386
31,1/18/2007,HUM,24.865098,0.35484276
32,1/18/2007,TEMP,16.387902,-0.642992617
33,1/18/2007,GAS,11.783825,-0.639945009
34,1/19/2007,HUM,24.95333,-1.253620258
35,1/19/2007,TEMP,16.282529,-0.703434952
36,1/19/2007,GAS,11.708415,-1.932208587
37,1/22/2007,HUM,24.64051,0.065104172
38,1/22/2007,TEMP,16.167992,-0.96344679
39,1/22/2007,GAS,11.482184,-1.255902187
40,1/23/2007,HUM,24.656552,1.138581745
41,1/23/2007,TEMP,16.012222,-0.457794053
42,1/23/2007,GAS,11.337979,1.166865806
43,1/24/2007,HUM,24.937287,-2.058535878
44,1/24/2007,TEMP,15.938919,-2.356997987
45,1/24/2007,GAS,11.470278,-0.519037115
46,1/25/2007,HUM,24.423944,0.492610858
47,1/25/2007,TEMP,15.563239,-0.264944849
48,1/25/2007,GAS,11.410743,-1.008698557
49,1/26/2007,HUM,24.544259,-0.228758179
50,1/26/2007,TEMP,15.522005,2.007086069
51,1/26/2007,GAS,11.295643,0.655890063
52,1/29/2007,HUM,24.488112,-0.163777428
53,1/29/2007,TEMP,15.833545,0
54,1/29/2007,GAS,11.36973,-0.453801454
55,1/30/2007,HUM,24.448006,1.246723352
56,1/30/2007,TEMP,15.833545,1.099532669
57,1/30/2007,GAS,11.318134,0.210405708
58,1/31/2007,HUM,24.752805,-0.972136289
59,1/31/2007,TEMP,16.00764,-1.516888186
60,1/31/2007,GAS,11.341948,-1.15479281
61,2/1/2007,HUM,24.512174,-1.210729003
62,2/1/2007,TEMP,15.764822,-0.406855212
63,2/1/2007,GAS,11.210972,0.011800939
64,2/2/2007,HUM,24.215398,-1.921166028
65,2/2/2007,TEMP,15.700682,-0.729496973
66,2/2/2007,GAS,11.212295,-0.955754375
67,2/5/2007,HUM,23.75018,-0.337723756
68,2/5/2007,TEMP,15.586146,-1.028817515
69,2/5/2007,GAS,11.105133,0.250181605
70,2/6/2007,HUM,23.66997,-0.474415472
71,2/6/2007,TEMP,15.425793,0
72,2/6/2007,GAS,11.132916,2.376708851
73,2/7/2007,HUM,23.557676,-0.374531851
74,2/7/2007,TEMP,15.425793,-0.742496674
75,2/7/2007,GAS,11.397513,0.03483216
76,2/8/2007,HUM,23.469445,-0.956942101
77,2/8/2007,TEMP,15.311257,-1.37641867
78,2/8/2007,GAS,11.401483,-3.37665723
79,2/9/2007,HUM,23.244856,-0.138021935
80,2/9/2007,TEMP,15.10051,-0.8798577
81,2/9/2007,GAS,11.016494,1.933464494
82,2/12/2007,HUM,23.212773,0.589459949
83,2/12/2007,TEMP,14.967647,-0.030606013
84,2/12/2007,GAS,11.229494,-0.21205764
85,2/13/2007,HUM,23.349603,1.344361187
86,2/13/2007,TEMP,14.963066,2.08205992
87,2/13/2007,GAS,11.205681,0.708381757
88,2/14/2007,HUM,23.663506,0.204077959
89,2/14/2007,TEMP,15.274606,-0.359924177
90,2/14/2007,GAS,11.28506,-0.10551118
91,2/15/2007,HUM,23.711798,-2.443990118
92,2/15/2007,TEMP,15.219629,-0.632157328
93,2/15/2007,GAS,11.273153,-0.44596219
94,2/16/2007,HUM,23.132284,0.313155415
95,2/16/2007,TEMP,15.123417,-0.575584208
96,2/16/2007,GAS,11.222879,1.261343012
97,2/20/2007,HUM,23.204724,1.803675838
98,2/20/2007,TEMP,15.036369,-1.279697246
99,2/20/2007,GAS,11.364438,3.841676993
100,2/21/2007,HUM,23.623262,0.136285158
101,2/21/2007,TEMP,14.843949,1.882706549
102,2/21/2007,GAS,11.801023,0.347537667
103,2/22/2007,HUM,23.655457,-1.667234753
104,2/22/2007,TEMP,15.123417,-0.78763946
105,2/22/2007,GAS,11.842036,-0.491562431
106,2/23/2007,HUM,23.261065,0.588236179
107,2/23/2007,TEMP,15.004299,-2.259545748
108,2/23/2007,GAS,11.783825,-0.628717755
109,2/26/2007,HUM,23.397895,-4.127965358
110,2/26/2007,TEMP,14.66527,-3.936265749
111,2/26/2007,GAS,11.709738,-5.174564965
112,2/27/2007,HUM,22.432038,1.07642471
113,2/27/2007,TEMP,14.088006,0.487805017
114,2/27/2007,GAS,11.10381,0.810208388
115,2/28/2007,HUM,22.673502,-0.28398789
116,2/28/2007,TEMP,14.156728,-1.650487316
117,2/28/2007,GAS,11.193774,2.895636449
118,3/1/2007,HUM,22.609112,-1.17479625
119,3/1/2007,TEMP,13.923073,-1.678185556
120,3/1/2007,GAS,11.517905,-1.895249179
121,3/2/2007,HUM,22.343501,-0.75648843
122,3/2/2007,TEMP,13.689418,-1.572952188
123,3/2/2007,GAS,11.299612,1.065452513
124,3/5/2007,HUM,22.174475,1.016335223
125,3/5/2007,TEMP,13.47409,2.006116925
126,3/5/2007,GAS,11.420004,2.166356509
127,3/6/2007,HUM,22.399842,-0.79051004
128,3/6/2007,TEMP,13.744396,1.566667608
129,3/6/2007,GAS,11.667402,-0.532937838
130,3/7/2007,HUM,22.222769,-1.050346156
131,3/7/2007,TEMP,13.959725,0.75484295
132,3/7/2007,GAS,11.605222,0.319192515
133,3/8/2007,HUM,21.989353,-0.109807687
134,3/8/2007,TEMP,14.065099,-1.270364325
135,3/8/2007,GAS,11.642265,-0.034091304
136,3/9/2007,HUM,21.965207,0.549651091
137,3/9/2007,TEMP,13.886421,-0.791816696
138,3/9/2007,GAS,11.638296,2.159835082
139,3/12/2007,HUM,22.085939,-2.623909266
140,3/12/2007,TEMP,13.776466,-2.361149804
141,3/12/2007,GAS,11.889664,-1.635698032
142,3/13/2007,HUM,21.506424,2.544909372
143,3/13/2007,TEMP,13.451183,-0.136248239
144,3/13/2007,GAS,11.695185,1.809949992
145,3/14/2007,HUM,22.053743,-0.437952868
146,3/14/2007,TEMP,13.432856,0.920876394
147,3/14/2007,GAS,11.906862,-0.477774917
148,3/15/2007,HUM,21.957158,0.183284194
149,3/15/2007,TEMP,13.556556,3.345724386
150,3/15/2007,GAS,11.849974,0.022329163
151,3/16/2007,HUM,21.997402,1.829488773
152,3/16/2007,TEMP,14.010121,1.504255388
153,3/16/2007,GAS,11.85262,1.718944841
154,3/19/2007,HUM,22.399842,0.035933289
155,3/19/2007,TEMP,14.220869,1.095355003
156,3/19/2007,GAS,12.05636,0.384062851
157,3/20/2007,HUM,22.407891,2.44253241
158,3/20/2007,TEMP,14.376638,2.836205516
159,3/20/2007,GAS,12.102664,2.612590088
160,3/21/2007,HUM,22.955211,-0.876576565
161,3/21/2007,TEMP,14.784389,-1.952282235
162,3/21/2007,GAS,12.418857,0.095878389
163,3/22/2007,HUM,22.753991,-0.884332775
164,3/22/2007,TEMP,14.495756,-0.695320755
165,3/22/2007,GAS,12.430764,-0.468281756
