deviceId,timestamp,data,value,change
22229D7,2021-02-01 11:07:53,pressure,13,13
22229D7,2021-02-01 11:07:53,temperature,22,22
22229D7,2021-02-01 11:07:53,humidity,23,23
22229D7,2021-02-01 11:10:32,pressure,22,9
22229D7,2021-02-01 11:10:32,temperature,22,0
22229D7,2021-02-01 11:10:32,humidity,9,-14
22229D7,2021-02-01 11:11:11,pressure,13,-9
22229D7,2021-02-01 11:11:11,temperature,22,0
22229D7,2021-02-01 11:11:11,humidity,23,14
22229D7,2021-02-01 11:11:23,pressure,22,9
22229D7,2021-02-01 11:11:23,temperature,22,0
22229D7,2021-02-01 11:11:23,humidity,9,-14
22229D7,2021-02-01 11:17:06,pressure,20,-2
22229D7,2021-02-01 11:17:06,temperature,22,0
22229D7,2021-02-01 11:17:06,humidity,28,19
22229D7,2021-02-01 11:17:25,pressure,32,12
22229D7,2021-02-01 11:17:25,temperature,22,0
22229D7,2021-02-01 11:17:25,humidity,16,-12
22229D7,2021-02-01 13:16:37,pressure,13,-19
22229D7,2021-02-01 13:16:37,temperature,24,2
22229D7,2021-02-01 13:16:37,humidity,23,7
22229D7,2021-02-01 13:16:51,pressure,22,9
22229D7,2021-02-01 13:16:51,temperature,23,-1
22229D7,2021-02-01 13:16:51,humidity,9,-14
22229D7,2021-02-01 13:34:16,pressure,20,-2
22229D7,2021-02-01 13:34:16,temperature,23,0
22229D7,2021-02-01 13:34:16,humidity,28,19
22229D7,2021-02-01 13:35:19,pressure,32,12
22229D7,2021-02-01 13:35:19,temperature,28,5
22229D7,2021-02-01 13:35:19,humidity,16,-12
22229D7,2021-02-01 13:35:43,pressure,16,-16
22229D7,2021-02-01 13:35:43,temperature,30,2
22229D7,2021-02-01 13:35:43,humidity,39,23
22229D7,2021-02-01 13:49:25,pressure,31,15
22229D7,2021-02-01 13:49:25,temperature,23,-7
22229D7,2021-02-01 13:49:25,humidity,31,-8
