,Date,data,value,change
1,1/3/2020,HUM,23.950705,-0.167452273
2,1/3/2020,TEMP,16.149666,0.113476031
3,1/3/2020,GAS,11.086612,2.219568972
4,1/4/2020,HUM,23.910599,-0.570278478
5,1/4/2020,TEMP,16.167992,-0.425055876
6,1/4/2020,GAS,11.332687,-0.712125906
7,1/5/2020,HUM,23.774242,0.978411846
8,1/5/2020,TEMP,16.099269,-0.369948474
9,1/5/2020,GAS,11.251984,0.49383291
10,1/8/2020,HUM,24.006852,0.100229718
11,1/8/2020,TEMP,16.03971,-0.428442908
12,1/8/2020,GAS,11.30755,8.307016109
13,1/9/2020,HUM,24.030914,-1.001335197
14,1/9/2020,TEMP,15.970989,-0.315553407
15,1/9/2020,GAS,12.24687,4.785557453
16,1/10/2020,HUM,23.790284,3.506410432
17,1/10/2020,TEMP,15.920592,3.050363956
18,1/10/2020,GAS,12.832951,-1.237104389
19,1/11/2020,HUM,23.790284,3.506410432
20,1/11/2020,TEMP,15.920592,3.050363956
21,1/11/2020,GAS,12.832951,-1.237104389
