deviceId,timestamp,data,value,change
22229D7,2021-02-01 11:07:53,pressure,13,13
22229D7,2021-02-01 11:07:53,temperature,22,22
22229D7,2021-02-01 11:07:53,humidity,23,23
22229D7,2021-02-01 11:10:32,pressure,22,9
22229D7,2021-02-01 11:10:32,temperature,22,0
22229D7,2021-02-01 11:10:32,humidity,9,-14
22229D7,2021-02-01 11:11:11,pressure,13,-9
22229D7,2021-02-01 11:11:11,temperature,22,0
22229D7,2021-02-01 11:11:11,humidity,23,14
22229D7,2021-02-01 11:11:23,pressure,22,9
22229D7,2021-02-01 11:11:23,temperature,22,0
22229D7,2021-02-01 11:11:23,humidity,9,-14
22229D7,2021-02-01 11:17:06,pressure,20,-2
22229D7,2021-02-01 11:17:06,temperature,22,0
22229D7,2021-02-01 11:17:06,humidity,28,19
22229D7,2021-02-01 11:17:25,pressure,32,12
22229D7,2021-02-01 11:17:25,temperature,22,0
22229D7,2021-02-01 11:17:25,humidity,16,-12
