deviceId,timestamp,data,value,change
22229D9,2021-02-09 11:26:02,CH1,11.0,11.0
22229D9,2021-02-09 11:26:02,CH2,160.0,160.0
22229D9,2021-02-09 11:26:02,CH3,1900.0,1900.0
22229D9,2021-02-09 11:26:02,CH4,8000.0,8000.0
22229D9,2021-02-09 11:26:02,CH5,330000.0,330000.0
22229D9,2021-02-09 11:26:02,CH6,2100000.0,2100000.0
22229D7,2021-02-09 11:26:04,CH1,4.0,-15.0
22229D7,2021-02-09 11:26:04,CH2,280.0,200.0
22229D7,2021-02-09 11:26:04,CH3,3900.0,3300.0
22229D7,2021-02-09 11:26:04,CH4,29000.0,-1000.0
22229D7,2021-02-09 11:26:04,CH5,780000.0,140000.0
22229D7,2021-02-09 11:26:04,CH6,6500000.0,-1000000.0
22229D7,2021-02-09 11:30:20,CH1,17.0,13.0
22229D7,2021-02-09 11:30:20,CH2,260.0,-20.0
22229D7,2021-02-09 11:30:20,CH3,1300.0,-2600.0
22229D7,2021-02-09 11:30:20,CH4,47000.0,18000.0
22229D7,2021-02-09 11:30:20,CH5,740000.0,-40000.0
22229D7,2021-02-09 11:30:20,CH6,8800000.0,2300000.0
22229D9,2021-02-09 11:30:29,CH1,4.0,-7.0
22229D9,2021-02-09 11:30:29,CH2,70.0,-90.0
22229D9,2021-02-09 11:30:29,CH3,800.0,-1100.0
22229D9,2021-02-09 11:30:29,CH4,5000.0,-3000.0
22229D9,2021-02-09 11:30:29,CH5,680000.0,350000.0
22229D9,2021-02-09 11:30:29,CH6,9100000.0,7000000.0
22229D9,2021-02-09 11:35:47,CH1,1.0,-3.0
22229D9,2021-02-09 11:35:47,CH2,150.0,80.0
22229D9,2021-02-09 11:35:47,CH3,3000.0,2200.0
22229D9,2021-02-09 11:35:47,CH4,11000.0,6000.0
22229D9,2021-02-09 11:35:47,CH5,750000.0,70000.0
22229D9,2021-02-09 11:35:47,CH6,4500000.0,-4600000.0
22229D7,2021-02-09 11:43:50,CH1,9.0,-8.0
22229D7,2021-02-09 11:43:50,CH2,60.0,-200.0
22229D7,2021-02-09 11:43:50,CH3,400.0,-900.0
22229D7,2021-02-09 11:43:50,CH4,25000.0,-22000.0
22229D7,2021-02-09 11:43:50,CH5,270000.0,-470000.0
22229D7,2021-02-09 11:43:50,CH6,6600000.0,-2200000.0
22229D9,2021-02-09 11:43:50,CH1,19.0,18.0
22229D9,2021-02-09 11:43:50,CH2,140.0,-10.0
22229D9,2021-02-09 11:43:50,CH3,3500.0,500.0
22229D9,2021-02-09 11:43:50,CH4,57000.0,46000.0
22229D9,2021-02-09 11:43:50,CH5,730000.0,-20000.0
22229D9,2021-02-09 11:43:50,CH6,3400000.0,-1100000.0
22229D7,2021-02-09 11:44:21,CH1,10.0,1.0
22229D7,2021-02-09 11:44:21,CH2,110.0,50.0
22229D7,2021-02-09 11:44:21,CH3,2700.0,2300.0
22229D7,2021-02-09 11:44:21,CH4,53000.0,28000.0
22229D7,2021-02-09 11:44:21,CH5,340000.0,70000.0
22229D7,2021-02-09 11:44:21,CH6,3500000.0,-3100000.0
22229D9,2021-02-09 11:44:21,CH1,19.0,0.0
22229D9,2021-02-09 11:44:21,CH2,80.0,-60.0
22229D9,2021-02-09 11:44:21,CH3,600.0,-2900.0
22229D9,2021-02-09 11:44:21,CH4,30000.0,-27000.0
22229D9,2021-02-09 11:44:21,CH5,640000.0,-90000.0
22229D9,2021-02-09 11:44:21,CH6,7500000.0,4100000.0
