location,deviceId,timestamp,data,value,change
FR,22229D9,2021-02-12 16:01:15,CH1,28.0,28.0
FR,22229D9,2021-02-12 16:01:15,CH2,-414.0,-414.0
FR,22229D9,2021-02-12 16:01:15,CH3,2633.7999999999997,2633.7999999999997
FR,22229D9,2021-02-12 16:01:15,CH4,36.3,36.3
FR,22229D9,2021-02-12 16:01:15,CH5,3400000000.0,3400000000.0
FR,22229D9,2021-02-12 16:01:15,CH6,711.1999999999999,711.1999999999999
FR,22229D7,2021-02-12 16:01:18,CH1,8.0,-4.0
FR,22229D7,2021-02-12 16:01:18,CH2,-46.0,575.0
FR,22229D7,2021-02-12 16:01:18,CH3,1316.8999999999999,810.4
FR,22229D7,2021-02-12 16:01:18,CH4,95.69999999999999,36.3
FR,22229D7,2021-02-12 16:01:18,CH5,7100000000.0,2500000000.0
FR,22229D7,2021-02-12 16:01:18,CH6,355.59999999999997,114.3
FR,22229D9,2021-02-12 16:01:24,CH1,8.0,-20.0
FR,22229D9,2021-02-12 16:01:24,CH2,-299.0,115.0
FR,22229D9,2021-02-12 16:01:24,CH3,1013.0,-1620.8
FR,22229D9,2021-02-12 16:01:24,CH4,9.899999999999999,-26.4
FR,22229D9,2021-02-12 16:01:24,CH5,5600000000.0,2200000000.0
FR,22229D9,2021-02-12 16:01:24,CH6,304.79999999999995,-406.4
FR,22229D7,2021-02-12 16:01:28,CH1,4.0,-4.0
FR,22229D7,2021-02-12 16:01:28,CH2,-483.0,-437.0
FR,22229D7,2021-02-12 16:01:28,CH3,3545.5,2228.6
FR,22229D7,2021-02-12 16:01:28,CH4,108.89999999999999,13.2
FR,22229D7,2021-02-12 16:01:28,CH5,5000000000.0,-2100000000.0
FR,22229D7,2021-02-12 16:01:28,CH6,1181.1,825.5
FR,22229D9,2021-02-12 16:01:40,CH1,30.0,22.0
FR,22229D9,2021-02-12 16:01:40,CH2,-207.0,92.0
FR,22229D9,2021-02-12 16:01:40,CH3,3444.2,2431.2
FR,22229D9,2021-02-12 16:01:40,CH4,184.79999999999998,174.89999999999998
FR,22229D9,2021-02-12 16:01:40,CH5,7100000000.0,1500000000.0
FR,22229D9,2021-02-12 16:01:40,CH6,406.4,101.6
FR,22229D7,2021-02-12 16:01:41,CH1,10.0,6.0
FR,22229D7,2021-02-12 16:01:41,CH2,-23.0,460.0
FR,22229D7,2021-02-12 16:01:41,CH3,3241.6,-303.9
FR,22229D7,2021-02-12 16:01:41,CH4,99.0,-9.899999999999999
FR,22229D7,2021-02-12 16:01:41,CH5,2100000000.0,-2900000000.0
FR,22229D7,2021-02-12 16:01:41,CH6,1193.8,12.7
FR,22229D9,2021-02-12 16:01:53,CH1,16.0,-14.0
FR,22229D9,2021-02-12 16:01:53,CH2,-276.0,-69.0
FR,22229D9,2021-02-12 16:01:53,CH3,1013.0,-2431.2
FR,22229D9,2021-02-12 16:01:53,CH4,188.1,3.3
FR,22229D9,2021-02-12 16:01:53,CH5,7200000000.0,100000000.0
FR,22229D9,2021-02-12 16:01:53,CH6,546.1,139.7
FR,22229D7,2021-02-12 16:01:56,CH1,0.0,-10.0
FR,22229D7,2021-02-12 16:01:56,CH2,-368.0,-345.0
FR,22229D7,2021-02-12 16:01:56,CH3,2937.7,-303.9
FR,22229D7,2021-02-12 16:01:56,CH4,128.7,29.7
FR,22229D7,2021-02-12 16:01:56,CH5,3200000000.0,1100000000.0
FR,22229D7,2021-02-12 16:01:56,CH6,38.099999999999994,-1155.7
FR,22229D7,2021-02-12 16:04:12,CH1,18.0,18.0
FR,22229D7,2021-02-12 16:04:12,CH2,-23.0,345.0
FR,22229D7,2021-02-12 16:04:12,CH3,1620.8,-1316.8999999999999
FR,22229D7,2021-02-12 16:04:12,CH4,168.29999999999998,39.599999999999994
FR,22229D7,2021-02-12 16:04:12,CH5,6600000000.0,3400000000.0
FR,22229D7,2021-02-12 16:04:12,CH6,1244.6,1206.5
FR,22229D9,2021-02-12 16:04:15,CH1,12.0,-4.0
FR,22229D9,2021-02-12 16:04:15,CH2,-621.0,-345.0
FR,22229D9,2021-02-12 16:04:15,CH3,506.5,-506.5
FR,22229D9,2021-02-12 16:04:15,CH4,59.4,-128.7
FR,22229D9,2021-02-12 16:04:15,CH5,4600000000.0,-2600000000.0
FR,22229D9,2021-02-12 16:04:15,CH6,241.29999999999998,-304.79999999999995
SA,22229D9,2021-02-12 16:01:15,CH1,28.0,28.0
SA,22229D9,2021-02-12 16:01:15,CH2,-414.0,-414.0
SA,22229D9,2021-02-12 16:01:15,CH3,2633.7999999999997,2633.7999999999997
SA,22229D9,2021-02-12 16:01:15,CH4,36.3,36.3
SA,22229D9,2021-02-12 16:01:15,CH5,3400000000.0,3400000000.0
SA,22229D9,2021-02-12 16:01:15,CH6,711.1999999999999,711.1999999999999
SA,22229D7,2021-02-12 16:01:18,CH1,8.0,-4.0
SA,22229D7,2021-02-12 16:01:18,CH2,-46.0,575.0
SA,22229D7,2021-02-12 16:01:18,CH3,1316.8999999999999,810.4
SA,22229D7,2021-02-12 16:01:18,CH4,95.69999999999999,36.3
SA,22229D7,2021-02-12 16:01:18,CH5,7100000000.0,2500000000.0
SA,22229D7,2021-02-12 16:01:18,CH6,355.59999999999997,114.3
SA,22229D9,2021-02-12 16:01:24,CH1,8.0,-20.0
SA,22229D9,2021-02-12 16:01:24,CH2,-299.0,115.0
SA,22229D9,2021-02-12 16:01:24,CH3,1013.0,-1620.8
SA,22229D9,2021-02-12 16:01:24,CH4,9.899999999999999,-26.4
SA,22229D9,2021-02-12 16:01:24,CH5,5600000000.0,2200000000.0
SA,22229D9,2021-02-12 16:01:24,CH6,304.79999999999995,-406.4
SA,22229D7,2021-02-12 16:01:28,CH1,4.0,-4.0
SA,22229D7,2021-02-12 16:01:28,CH2,-483.0,-437.0
SA,22229D7,2021-02-12 16:01:28,CH3,3545.5,2228.6
SA,22229D7,2021-02-12 16:01:28,CH4,108.89999999999999,13.2
SA,22229D7,2021-02-12 16:01:28,CH5,5000000000.0,-2100000000.0
SA,22229D7,2021-02-12 16:01:28,CH6,1181.1,825.5
SA,22229D9,2021-02-12 16:01:40,CH1,30.0,22.0
SA,22229D9,2021-02-12 16:01:40,CH2,-207.0,92.0
SA,22229D9,2021-02-12 16:01:40,CH3,3444.2,2431.2
SA,22229D9,2021-02-12 16:01:40,CH4,184.79999999999998,174.89999999999998
SA,22229D9,2021-02-12 16:01:40,CH5,7100000000.0,1500000000.0
SA,22229D9,2021-02-12 16:01:40,CH6,406.4,101.6
SA,22229D7,2021-02-12 16:01:41,CH1,10.0,6.0
