location,deviceId,timestamp,data,value
SA,22229D7,2021-03-01 11:39:08,ch1,8
SA,22229D7,2021-03-01 11:39:08,ch2,37
SA,22229D7,2021-03-01 11:39:08,ch3,43
SA,22229D7,2021-03-01 11:39:08,ch4,60
SA,22229D7,2021-03-01 11:39:08,ch5,37
SA,22229D7,2021-03-01 11:39:22,ch1,14
SA,22229D7,2021-03-01 11:39:22,ch2,4
SA,22229D7,2021-03-01 11:39:22,ch3,7
SA,22229D7,2021-03-01 11:39:22,ch4,4
SA,22229D7,2021-03-01 11:39:22,ch5,52
SA,22229D7,2021-03-01 11:46:39,ch1,9
SA,22229D7,2021-03-01 11:46:39,ch2,34
SA,22229D7,2021-03-01 11:46:39,ch3,46
SA,22229D7,2021-03-01 11:46:39,ch4,43
SA,22229D7,2021-03-01 11:46:39,ch5,94
SA,22229D7,2021-03-01 11:47:26,ch1,2
SA,22229D7,2021-03-01 11:47:26,ch2,13
SA,22229D7,2021-03-01 11:47:26,ch3,29
SA,22229D7,2021-03-01 11:47:26,ch4,71
SA,22229D7,2021-03-01 11:47:26,ch5,28
SA,22229D7,2021-03-01 11:48:24,ch1,21
SA,22229D7,2021-03-01 11:48:24,ch2,35
SA,22229D7,2021-03-01 11:48:24,ch3,33
SA,22229D7,2021-03-01 11:48:24,ch4,50
SA,22229D7,2021-03-01 11:48:24,ch5,93
SA,22229D7,2021-03-01 11:50:53,ch1,1
SA,22229D7,2021-03-01 11:50:53,ch2,32
SA,22229D7,2021-03-01 11:50:53,ch3,30
SA,22229D7,2021-03-01 11:50:53,ch4,21
SA,22229D7,2021-03-01 11:50:53,ch5,94
SA,22229D7,2021-03-01 11:56:00,ch1,16
SA,22229D7,2021-03-01 11:56:00,ch2,29
SA,22229D7,2021-03-01 11:56:00,ch3,39
SA,22229D7,2021-03-01 11:56:00,ch4,32
SA,22229D7,2021-03-01 11:56:00,ch5,3
SA,22229D7,2021-03-01 11:57:30,ch1,1
SA,22229D7,2021-03-01 11:57:30,ch2,16
SA,22229D7,2021-03-01 11:57:30,ch3,51
SA,22229D7,2021-03-01 11:57:30,ch4,66
SA,22229D7,2021-03-01 11:57:30,ch5,98
SA,22229D7,2021-03-01 12:13:31,ch1,22
SA,22229D7,2021-03-01 12:13:31,ch2,11
SA,22229D7,2021-03-01 12:13:31,ch3,44
SA,22229D7,2021-03-01 12:13:31,ch4,50
SA,22229D7,2021-03-01 12:13:31,ch5,87
SA,22229D7,2021-03-01 12:14:05,ch1,11
SA,22229D7,2021-03-01 12:14:05,ch2,39
SA,22229D7,2021-03-01 12:14:05,ch3,5
SA,22229D7,2021-03-01 12:14:05,ch4,8
SA,22229D7,2021-03-01 12:14:05,ch5,44
SA,22229D7,2021-03-01 12:22:38,ch1,10
SA,22229D7,2021-03-01 12:22:38,ch2,18
SA,22229D7,2021-03-01 12:22:38,ch3,24
SA,22229D7,2021-03-01 12:22:38,ch4,64
SA,22229D7,2021-03-01 12:22:38,ch5,48
SA,22229D7,2021-03-01 12:39:45,ch1,15
SA,22229D7,2021-03-01 12:39:45,ch2,24
SA,22229D7,2021-03-01 12:39:45,ch3,45
SA,22229D7,2021-03-01 12:39:45,ch4,41
SA,22229D7,2021-03-01 12:39:45,ch5,85
SA,22229D7,2021-03-01 12:40:32,ch1,14
SA,22229D7,2021-03-01 12:40:32,ch2,9
SA,22229D7,2021-03-01 12:40:32,ch3,36
SA,22229D7,2021-03-01 12:40:32,ch4,11
SA,22229D7,2021-03-01 12:40:32,ch5,7
SA,22229D7,2021-03-01 12:58:22,ch1,9
SA,22229D7,2021-03-01 12:58:22,ch2,9
SA,22229D7,2021-03-01 12:58:22,ch3,13
SA,22229D7,2021-03-01 12:58:22,ch4,58
SA,22229D7,2021-03-01 12:58:22,ch5,22
SA,22229D5,2021-03-08 13:13:14,ch1,905
SA,22229D5,2021-03-08 13:13:14,ch2,439
SA,22229D5,2021-03-08 13:13:14,ch3,5
SA,22229D5,2021-03-08 13:13:14,ch4,298
SA,22229D5,2021-03-08 13:13:14,ch5,49
SA,22229D5,2021-03-08 13:14:14,ch1,906
SA,22229D5,2021-03-08 13:14:14,ch2,1245
SA,22229D5,2021-03-08 13:14:14,ch3,128
SA,22229D5,2021-03-08 13:14:14,ch4,298
SA,22229D5,2021-03-08 13:14:14,ch5,48
SA,22229D5,2021-03-08 13:15:15,ch1,906
