deviceId,timestamp,data,value,change
22229D7,2021-02-01 11:07:53,Pressure,13,13
22229D7,2021-02-01 11:07:53,Temperature,22,22
22229D7,2021-02-01 11:07:53,Humidity,23,23
22229D7,2021-02-01 11:10:32,Pressure,22,9
22229D7,2021-02-01 11:10:32,Temperature,22,0
22229D7,2021-02-01 11:10:32,Humidity,9,-14
22229D7,2021-02-01 11:11:11,Pressure,13,-9
22229D7,2021-02-01 11:11:11,Temperature,22,0
22229D7,2021-02-01 11:11:11,Humidity,23,14
22229D7,2021-02-01 11:11:23,Pressure,22,9
22229D7,2021-02-01 11:11:23,Temperature,22,0
22229D7,2021-02-01 11:11:23,Humidity,9,-14
22229D7,2021-02-01 11:17:06,Pressure,20,-2
22229D7,2021-02-01 11:17:06,Temperature,22,0
22229D7,2021-02-01 11:17:06,Humidity,28,19
22229D7,2021-02-01 11:17:25,Pressure,32,12
22229D7,2021-02-01 11:17:25,Temperature,22,0
22229D7,2021-02-01 11:17:25,Humidity,16,-12
22229D7,2021-02-01 13:16:37,Pressure,13,-19
22229D7,2021-02-01 13:16:37,Temperature,24,2
22229D7,2021-02-01 13:16:37,Humidity,23,7
22229D7,2021-02-01 13:16:51,Pressure,22,9
22229D7,2021-02-01 13:16:51,Temperature,23,-1
22229D7,2021-02-01 13:16:51,Humidity,9,-14
22229D7,2021-02-01 13:34:16,Pressure,20,-2
22229D7,2021-02-01 13:34:16,Temperature,23,0
22229D7,2021-02-01 13:34:16,Humidity,28,19
22229D7,2021-02-01 13:35:19,Pressure,32,12
22229D7,2021-02-01 13:35:19,Temperature,28,5
22229D7,2021-02-01 13:35:19,Humidity,16,-12
22229D7,2021-02-01 13:35:43,Pressure,16,-16
22229D7,2021-02-01 13:35:43,Temperature,30,2
22229D7,2021-02-01 13:35:43,Humidity,39,23
22229D7,2021-02-01 13:49:25,Pressure,31,15
22229D7,2021-02-01 13:49:25,Temperature,23,-7
22229D7,2021-02-01 13:49:25,Humidity,31,-8
22229D7,2021-02-01 15:19:32,Pressure,13,-18
22229D7,2021-02-01 15:19:32,Temperature,21,-2
22229D7,2021-02-01 15:19:32,Humidity,23,-8
22229D7,2021-02-01 15:19:57,Pressure,22,9
22229D7,2021-02-01 15:19:57,Temperature,21,0
22229D7,2021-02-01 15:19:57,Humidity,9,-14
22229D7,2021-02-01 15:20:20,Pressure,20,-2
22229D7,2021-02-01 15:20:20,Temperature,21,0
22229D7,2021-02-01 15:20:20,Humidity,28,19
22229D7,2021-02-01 15:24:28,Pressure,32,12
22229D7,2021-02-01 15:24:28,Temperature,23,2
22229D7,2021-02-01 15:24:28,Humidity,16,-12
22229D7,2021-02-01 16:19:51,Pressure,13,-19
22229D7,2021-02-01 16:19:51,Temperature,24,1
22229D7,2021-02-01 16:19:51,Humidity,23,7
22229D7,2021-02-02 09:39:30,Pressure,13,0
22229D7,2021-02-02 09:39:30,Temperature,23,-1
22229D7,2021-02-02 09:39:30,Humidity,23,0
22229D7,2021-02-02 11:41:17,Pressure,13,0
22229D7,2021-02-02 11:41:17,Temperature,23,0
22229D7,2021-02-02 11:41:17,Humidity,23,0
22229D7,2021-02-02 12:59:46,Pressure,13,0
22229D7,2021-02-02 12:59:46,Temperature,24,1
22229D7,2021-02-02 12:59:46,Humidity,23,0
22229D7,2021-02-02 13:00:22,Pressure,22,9
22229D7,2021-02-02 13:00:22,Temperature,24,0
22229D7,2021-02-02 13:00:22,Humidity,9,-14
22229D7,2021-02-02 13:04:24,Pressure,20,-2
22229D7,2021-02-02 13:04:24,Temperature,24,0
22229D7,2021-02-02 13:04:24,Humidity,28,19
